Frequency (Hz)	Level (dB)
290.698242	-51.939720 , 
581.396484	-49.410400 , 
872.094727	-46.828625 , 
1448.107910	-56.960018 , 
1738.806152	-64.312508 , 
2029.504395	-62.737423 , 
2320.202637	-29.597960 , 
2610.900879	-62.452320 , 
2901.599121	-64.916168 , 
3192.297363	-64.447052 , 
3482.995605	-70.183189 , 
3773.693848	-72.147018 , 
4064.392090	-65.468178 , 
4355.090332	-70.745598 , 
4645.788574	-59.947681 , 
4936.486816	-59.926273 , 
5227.185059	-69.282608 , 
5517.883301	-74.263039 , 
5808.581543	-59.553307 , 
6099.279785	-63.807056 , 
6389.978027	-94.537758 , 
6680.676270	-62.298313 , 
6971.374512	-78.946373 , 
7262.072754	-74.343536 , 
7552.770996	-64.548203 , 
7843.469238	-82.339119 , 
8134.167480	-84.327194 , 
8424.865723	-70.587006 , 
8430.249023	-74.463646 , 
8435.632324	-83.496170 , 
