Frequency (Hz)	Level (dB)
279.931641	-65.825394 , 
559.863281	-34.847195 , 
839.794922	-52.882778 , 
1119.726562	-49.364624 , 
1399.658203	-54.846340 , 
1679.589844	-51.980816 , 
1959.521484	-59.094482 , 
2239.453125	-48.690430 , 
2519.384766	-66.581573 , 
2799.316406	-54.611156 , 
3079.248047	-74.646492 , 
3359.179688	-59.795284 , 
3639.111328	-81.939926 , 
3919.042969	-80.814651 , 
4198.974609	-77.027634 , 
4478.906250	-76.393929 , 
4758.837891	-89.035080 , 
5038.769531	-72.259262 , 
5318.701172	-72.248100 , 
5598.632812	-74.552094 , 
5878.564453	-106.836113, 
6158.496094	-81.866112 , 
6438.427734	-94.832108 , 
6718.359375	-79.970268 , 
6998.291016	-83.187508 , 
7278.222656	-89.181671 , 
7558.154297	-98.206154 , 
7838.085938	-94.213165 , 
8118.017578	-98.791794 , 
8397.949219	-100.895943, 
